frame,second,id,label,bbox,distance_m,speed_kmh
55,2.2,1,car,"987,403,1162,497",7.86,82.24
55,2.2,3,car,"807,407,949,499",9.68,82.96
56,2.24,1,car,"988,403,1163,496",7.86,81.16
56,2.24,3,car,"807,406,950,498",9.62,81.51
56,2.24,5,car,"236,429,274,443",36.18,84.73
57,2.28,1,car,"990,405,1165,496",7.86,81.32
57,2.28,3,car,"816,408,945,495",10.66,81.69
58,2.32,1,car,"991,406,1168,497",7.77,81.33
58,2.32,3,car,"808,408,946,497",9.96,81.52
59,2.36,1,car,"992,405,1169,496",7.77,81.02
59,2.36,3,car,"806,408,944,496",9.96,81.15
59,2.36,6,car,"0,440,90,459",15.28,81.82
59,2.36,7,car,"178,431,226,446",28.65,83.41
60,2.4,1,car,"994,404,1171,496",7.77,81.31
60,2.4,3,car,"813,408,945,495",10.42,81.65
60,2.4,7,car,"163,430,204,447",33.54,85.11
61,2.44,1,car,"994,402,1172,495",7.72,81.34
61,2.44,3,car,"808,407,943,495",10.19,81.85
61,2.44,7,car,"123,429,186,446",21.83,91.48
62,2.48,1,car,"998,402,1175,496",7.77,81.64
62,2.48,3,car,"808,406,942,493",10.26,81.96
62,2.48,7,car,"102,431,167,446",21.15,92.82
63,2.52,1,car,"995,404,1175,496",7.64,83.05
63,2.52,3,car,"811,408,949,494",9.96,84.04
63,2.52,7,car,"78,432,144,448",20.83,92.1
64,2.56,1,car,"995,404,1175,496",7.64,83.64
64,2.56,3,car,"814,405,946,493",10.42,84.91
64,2.56,7,car,"50,429,121,447",19.37,94.28
65,2.6,1,car,"997,404,1176,498",7.68,84.01
65,2.6,3,car,"815,406,944,493",10.66,85.42
65,2.6,7,car,"26,430,97,449",19.37,94.85
66,2.64,1,car,"1004,405,1181,498",7.77,84.78
66,2.64,1,car,"1005,406,1181,498",7.81,85.14
66,2.64,3,car,"815,408,945,494",10.58,86.16
66,2.64,7,car,"-10,435,75,452",16.18,92.29
67,2.68,1,car,"1002,403,1183,498",7.6,84.39
67,2.68,3,car,"815,407,943,494",10.74,86.64
68,2.72,1,car,"1002,402,1189,500",7.35,84.36
68,2.72,3,car,"817,406,947,493",10.58,85.65
69,2.76,1,car,"999,401,1186,499",7.35,84.82
69,2.76,3,car,"815,405,939,493",11.09,86.43
70,2.8,1,car,"995,401,1194,500",6.91,84.77
70,2.8,3,car,"818,408,944,493",10.91,87.29
71,2.84,1,car,"996,401,1190,500",7.09,84.87
71,2.84,3,car,"811,407,942,495",10.5,87.68
72,2.88,1,car,"1005,404,1189,499",7.47,86.02
72,2.88,1,car,"1006,405,1189,499",7.51,87.23
72,2.88,3,car,"811,406,940,495",10.66,88.86
73,2.92,1,car,"1004,401,1196,500",7.16,87.6
73,2.92,3,car,"813,406,943,495",10.58,90.01
74,2.96,1,car,"1010,402,1196,499",7.39,89.05
74,2.96,3,car,"815,405,944,494",10.66,91.42
75,3.0,1,car,"1009,401,1197,500",7.31,90.79
75,3.0,3,car,"814,406,946,496",10.42,93.58
76,3.04,1,car,"1009,400,1198,501",7.28,91.6
76,3.04,3,car,"813,408,945,494",10.42,96.07
77,3.08,1,car,"1008,401,1200,501",7.16,92.71
77,3.08,3,car,"815,408,944,494",10.66,98.38
78,3.12,1,car,"1007,403,1204,502",6.98,94.34
78,3.12,3,car,"814,408,945,494",10.5,100.8
79,3.16,1,car,"1012,403,1206,501",7.09,95.45
79,3.16,3,car,"815,408,947,493",10.42,102.53
80,3.2,1,car,"1015,403,1208,500",7.12,96.49
80,3.2,3,car,"816,406,944,492",10.74,104.24
81,3.24,1,car,"1019,403,1206,500",7.35,97.98
81,3.24,3,car,"816,406,941,492",11.0,106.37
82,3.28,1,car,"1020,402,1210,500",7.24,98.81
82,3.28,3,car,"813,406,941,493",10.74,107.32
83,3.32,1,car,"1020,402,1211,500",7.2,99.0
83,3.32,3,car,"810,408,943,493",10.34,107.25
84,3.36,1,car,"1020,399,1219,500",6.91,98.97
84,3.36,3,car,"813,407,942,493",10.66,107.71
85,3.4,1,car,"1021,403,1216,501",7.05,98.24
85,3.4,3,car,"813,408,943,493",10.58,106.65
86,3.44,1,car,"1020,403,1220,503",6.88,97.56
86,3.44,3,car,"810,406,947,495",10.04,105.67
87,3.48,1,car,"1022,404,1221,503",6.91,97.1
87,3.48,3,car,"814,406,948,494",10.26,105.17
88,3.52,1,car,"1021,405,1220,506",6.91,97.61
88,3.52,3,car,"810,408,946,496",10.11,106.12
89,3.56,1,car,"1023,404,1222,506",6.91,97.59
89,3.56,3,car,"811,408,946,495",10.19,105.74
90,3.6,1,car,"1024,403,1223,506",6.91,97.5
90,3.6,3,car,"815,409,946,496",10.5,105.82
91,3.64,1,car,"1027,403,1227,506",6.88,96.19
91,3.64,3,car,"814,408,950,495",10.11,103.89
92,3.68,1,car,"1026,401,1231,505",6.71,94.76
92,3.68,3,car,"811,406,950,494",9.89,101.65
93,3.72,1,car,"1027,402,1231,504",6.74,93.43
93,3.72,3,car,"811,407,946,493",10.19,99.8
93,3.72,8,car,"388,428,430,445",32.74,141.28
94,3.76,1,car,"1029,400,1233,503",6.74,91.66
94,3.76,3,car,"813,406,944,491",10.5,97.32
95,3.8,1,car,"1028,399,1236,503",6.61,89.63
95,3.8,3,car,"813,406,944,492",10.5,94.29
96,3.84,1,car,"1029,399,1238,503",6.58,87.97
96,3.84,3,car,"814,408,944,492",10.58,92.06
97,3.88,1,car,"1028,398,1243,502",6.4,87.15
97,3.88,3,car,"813,408,944,491",10.5,91.14
98,3.92,1,car,"1033,399,1244,503",6.52,86.64
98,3.92,3,car,"812,408,945,494",10.34,90.38
99,3.96,1,car,"1036,398,1241,502",6.71,86.31
99,3.96,3,car,"812,406,945,493",10.34,89.69
99,3.96,9,car,"504,413,527,428",59.78,136.21
100,4.0,1,car,"1035,398,1244,503",6.58,85.52
100,4.0,3,car,"812,406,944,493",10.42,88.29
101,4.04,1,car,"1041,397,1248,501",6.64,85.99
101,4.04,3,car,"810,406,940,491",10.58,88.68
101,4.04,10,car,"303,427,337,440",40.44,108.33
102,4.08,1,car,"1045,397,1249,502",6.74,85.73
102,4.08,3,car,"811,405,939,492",10.74,87.92
103,4.12,1,car,"1045,399,1254,504",6.58,85.2
103,4.12,3,car,"810,408,944,492",10.26,87.16
103,4.12,11,car,"260,428,304,444",31.25,114.97
104,4.16,1,car,"1046,398,1259,506",6.46,84.34
104,4.16,3,car,"812,408,941,491",10.66,86.04
104,4.16,11,car,"248,430,284,448",38.19,100.58
105,4.2,1,car,"1047,400,1266,506",6.28,84.85
105,4.2,3,car,"812,409,943,492",10.5,86.96
105,4.2,11,car,"211,432,270,446",23.31,97.28
105,4.2,12,car,"74,441,146,462",19.1,91.86
106,4.24,1,car,"1045,400,1275,507",5.98,84.58
106,4.24,3,car,"814,409,941,494",10.83,87.23
107,4.28,1,car,"1040,401,1270,508",5.98,83.81
107,4.28,3,car,"813,406,942,493",10.66,86.41
107,4.28,13,car,"0,449,59,471",23.31,83.06
107,4.28,14,car,"178,432,226,451",28.65,83.76
108,4.32,1,car,"1047,398,1275,507",6.03,82.93
108,4.32,3,car,"812,407,942,493",10.58,85.44
108,4.32,14,car,"139,432,211,456",19.1,94.35
108,4.32,15,car,"447,415,475,431",49.11,109.23
109,4.36,1,car,"1045,398,1270,507",6.11,82.66
109,4.36,3,car,"816,404,941,493",11.0,85.1
109,4.36,14,car,"54,438,174,486",11.46,97.98
109,4.36,14,car,"45,439,174,486",10.66,99.8
109,4.36,15,car,"435,415,470,434",39.29,102.57
110,4.4,1,car,"1047,400,1265,507",6.31,82.6
110,4.4,3,car,"815,408,941,493",10.91,85.02
110,4.4,14,car,"39,444,140,485",13.61,96.5
110,4.4,15,car,"417,416,460,436",31.98,98.41
111,4.44,1,car,"1051,401,1271,507",6.25,82.05
111,4.44,3,car,"812,408,942,493",10.58,83.89
111,4.44,15,car,"408,412,455,433",29.26,97.95
112,4.48,1,car,"1054,400,1272,506",6.31,82.83
112,4.48,3,car,"812,406,944,491",10.42,84.92
112,4.48,15,car,"413,411,453,432",34.38,99.14
112,4.48,16,car,"545,407,570,427",55.0,118.36
113,4.52,1,car,"1053,398,1273,505",6.25,82.74
113,4.52,3,car,"812,402,942,489",10.58,84.47
114,4.56,1,car,"1054,394,1275,500",6.22,83.28
114,4.56,3,car,"805,400,945,485",9.82,85.12
115,4.6,1,car,"1058,391,1279,499",6.22,83.69
115,4.6,3,car,"805,402,945,485",9.82,85.33
116,4.64,1,car,"1062,391,1279,500",6.34,84.72
116,4.64,3,car,"813,406,943,490",10.58,86.78
117,4.68,1,car,"1063,390,1279,498",6.37,84.31
117,4.68,3,car,"818,405,944,488",10.91,86.52
118,4.72,1,car,"1059,392,1279,503",6.25,84.27
118,4.72,3,car,"820,407,944,491",11.09,86.72
119,4.76,1,car,"1060,394,1279,503",6.28,84.21
119,4.76,3,car,"819,407,945,491",10.91,86.87
120,4.8,1,car,"1062,395,1279,504",6.34,83.77
120,4.8,3,car,"817,407,944,491",10.83,86.48
121,4.84,1,car,"1061,398,1279,509",6.31,83.07
121,4.84,3,car,"816,408,944,492",10.74,85.42
122,4.88,1,car,"1062,395,1279,506",6.34,83.74
122,4.88,3,car,"813,404,944,489",10.5,86.17
122,4.88,17,car,"295,415,346,437",26.96,106.19
123,4.92,1,car,"1061,397,1279,507",6.31,83.94
123,4.92,3,car,"813,405,940,489",10.83,86.23
124,4.96,1,car,"1061,397,1279,505",6.31,84.06
124,4.96,3,car,"812,404,940,488",10.74,86.27
125,5.0,1,car,"1060,394,1279,508",6.28,84.04
125,5.0,3,car,"813,404,940,488",10.83,86.51
125,5.0,18,car,"243,418,298,440",25.0,94.58
126,5.04,1,car,"1058,395,1279,507",6.22,84.4
126,5.04,3,car,"811,404,941,488",10.58,87.27
127,5.08,1,car,"1057,394,1279,507",6.19,84.28
127,5.08,3,car,"815,404,942,487",10.83,87.48
128,5.12,1,car,"1063,397,1279,509",6.37,84.62
128,5.12,3,car,"817,406,940,489",11.18,88.11
128,5.12,19,car,"184,419,250,448",20.83,94.88
129,5.16,1,car,"1066,395,1279,508",6.46,85.1
129,5.16,3,car,"816,406,941,489",11.0,88.95
130,5.2,1,car,"1065,393,1279,506",6.43,85.9
130,5.2,3,car,"814,403,938,488",11.09,90.16
130,5.2,20,car,"138,422,205,450",20.52,103.63
130,5.2,21,bench,"15,459,181,517",8.28,89.54
131,5.24,1,car,"1066,392,1279,508",6.46,86.01
131,5.24,3,car,"817,406,942,489",11.0,90.39
131,5.24,20,car,"114,422,195,457",16.98,94.83
132,5.28,1,car,"1068,395,1279,507",6.52,86.69
132,5.28,3,car,"816,405,941,488",11.0,91.1
132,5.28,20,car,"33,423,167,461",10.26,95.0
133,5.32,1,car,"1069,394,1279,507",6.55,87.66
133,5.32,3,car,"815,403,940,488",11.0,92.64
134,5.36,1,car,"1069,392,1279,506",6.55,88.21
134,5.36,3,car,"809,402,939,487",10.58,93.29
135,5.4,1,car,"1069,390,1279,506",6.55,88.76
135,5.4,3,car,"810,403,941,486",10.5,94.11
136,5.44,1,car,"1069,393,1279,507",6.55,90.03
136,5.44,3,car,"815,404,940,488",11.0,96.26
137,5.48,1,car,"1071,395,1279,510",6.61,90.36
137,5.48,3,car,"813,407,938,490",11.0,96.86
138,5.52,1,car,"1070,395,1279,510",6.58,90.1
138,5.52,3,car,"814,409,939,490",11.0,96.57
139,5.56,1,car,"1071,395,1279,511",6.61,90.11
139,5.56,3,car,"814,408,941,491",10.83,96.86
139,5.56,22,car,"372,420,409,442",37.16,132.4
140,5.6,1,car,"1073,396,1279,512",6.67,90.8
140,5.6,3,car,"809,405,940,489",10.5,97.59
140,5.6,22,car,"368,420,404,439",38.19,141.45
141,5.64,1,car,"1077,397,1279,514",6.81,91.1
141,5.64,3,car,"814,408,937,490",11.18,97.77
141,5.64,22,car,"342,420,386,441",31.25,137.42
142,5.68,1,car,"1078,397,1279,513",6.84,92.39
142,5.68,3,car,"807,407,938,488",10.5,99.38
142,5.68,22,car,"335,420,379,441",31.25,142.43
143,5.72,1,car,"1076,394,1279,510",6.77,93.78
143,5.72,3,car,"806,403,935,487",10.66,101.33
143,5.72,22,car,"325,420,375,443",27.5,143.43
144,5.76,1,car,"1078,394,1279,511",6.84,94.94
144,5.76,3,car,"813,405,937,488",11.09,103.22
