frame,second,id,label,bbox,distance_m,speed_kmh
1,0.03,0,car,"546,430,583,449",37.16,80.0
1,0.03,1,car,"270,433,311,457",33.54,80.0
1,0.03,2,car,"743,428,777,446",40.44,80.0
1,0.03,3,car,"324,428,397,456",18.84,80.0
1,0.03,4,car,"781,428,810,444",47.41,80.0
1,0.03,5,car,"409,434,450,452",33.54,80.0
2,0.07,1,car,"260,430,301,456",33.54,82.26
2,0.07,2,car,"743,428,774,446",44.35,83.04
2,0.07,3,car,"312,429,384,455",19.1,81.53
2,0.07,4,car,"772,428,802,443",45.83,83.28
2,0.07,5,car,"410,436,449,452",35.26,82.46
2,0.07,6,car,"658,430,685,443",50.93,86.97
3,0.1,1,car,"210,423,300,458",15.28,87.18
3,0.1,3,car,"248,426,372,458",11.09,86.19
3,0.1,4,car,"761,428,798,444",37.16,85.66
3,0.1,5,car,"398,433,441,452",31.98,84.09
3,0.1,7,car,"566,432,601,449",39.29,82.8
4,0.14,3,car,"191,429,278,458",15.8,93.35
4,0.14,5,car,"376,433,432,453",24.55,85.11
4,0.14,7,car,"555,431,593,448",36.18,83.23
4,0.14,8,car,"286,429,347,458",22.54,85.71
5,0.17,3,car,"197,429,273,459",18.09,92.76
5,0.17,5,car,"384,436,427,453",31.98,85.34
5,0.17,8,car,"262,427,338,459",18.09,86.99
6,0.21,3,car,"174,428,241,458",20.52,96.08
6,0.21,3,car,"170,428,241,458",19.37,98.8
6,0.21,5,car,"383,435,423,451",34.38,85.86
6,0.21,9,car,"521,433,552,449",44.35,85.05
6,0.21,10,car,"767,427,795,442",49.11,85.6
7,0.24,3,car,"161,421,304,465",9.62,96.3
7,0.24,3,car,"160,420,304,465",9.55,89.94
7,0.24,5,car,"343,439,408,455",21.15,87.62
7,0.24,9,car,"513,435,545,452",42.97,84.54
7,0.24,10,car,"760,425,793,442",41.67,90.38
7,0.24,10,car,"761,425,793,442",42.97,91.97
8,0.28,3,car,"133,428,281,467",9.29,88.05
8,0.28,5,car,"349,436,402,455",25.94,86.6
8,0.28,9,car,"505,437,537,453",42.97,83.3
8,0.28,10,car,"867,430,826,446",inf,108.48
8,0.28,11,car,"645,430,672,443",50.93,90.3
8,0.28,12,car,"746,426,782,445",38.19,87.72
8,0.28,13,car,"771,427,797,442",52.88,90.69
9,0.31,3,car,"110,428,249,469",9.89,85.09
9,0.31,5,car,"340,438,397,459",24.12,85.13
9,0.31,9,car,"506,439,530,454",57.29,83.3
9,0.31,9,car,"505,439,530,454",55.0,83.3
9,0.31,11,car,"631,430,668,444",37.16,91.59
9,0.31,11,car,"631,430,668,444",37.16,92.02
9,0.31,12,car,"752,426,783,445",44.35,90.48
9,0.31,13,car,"798,427,829,446",44.35,103.54
10,0.34,3,car,"74,433,231,474",8.76,82.51
10,0.34,5,car,"311,436,387,460",18.09,85.09
10,0.34,9,car,"474,442,529,455",25.0,88.21
10,0.34,9,car,"469,442,529,455",22.92,93.34
10,0.34,11,car,"712,424,678,443",inf,98.78
10,0.34,12,car,"781,427,796,443",91.67,99.65
10,0.34,12,car,"784,427,796,443",114.58,104.23
10,0.34,13,car,"828,428,828,446",inf,107.07
10,0.34,14,car,"608,431,637,446",47.41,86.62
10,0.34,15,car,"637,430,664,444",50.93,87.11
11,0.38,3,car,"43,425,197,471",8.93,82.33
11,0.38,5,car,"330,435,374,459",31.25,87.45
