frame,second,id,label,bbox,distance_m,speed_kmh
140,5.6,16,motorcycle,"838,438,893,485",25.0,102.64
140,5.6,17,motorcycle,"841,447,887,485",29.89,91.14
141,5.64,16,motorcycle,"850,434,901,485",26.96,102.4
142,5.68,16,motorcycle,"866,419,906,482",34.38,101.42
142,5.68,16,motorcycle,"867,419,906,482",35.26,100.45
143,5.72,16,motorcycle,"870,420,908,477",36.18,99.8
144,5.76,16,motorcycle,"871,429,917,478",29.89,100.16
144,5.76,16,motorcycle,"871,431,917,478",29.89,101.39
144,5.76,16,motorcycle,"872,434,917,478",30.56,102.78
145,5.8,16,motorcycle,"877,428,915,477",36.18,106.68
145,5.8,16,motorcycle,"877,432,915,477",36.18,110.19
146,5.84,16,motorcycle,"891,427,924,473",41.67,112.32
149,5.96,18,motorcycle,"911,418,943,469",42.97,105.36
151,6.04,19,motorcycle,"925,415,960,461",39.29,105.89
151,6.04,20,motorcycle,"924,435,966,463",32.74,101.57
152,6.08,19,person,"931,405,971,449",34.38,105.68
153,6.12,19,person,"940,384,969,452",47.41,106.72
154,6.16,19,motorcycle,"941,414,972,455",44.35,110.19
161,6.44,21,motorcycle,"958,402,987,446",47.41,106.92
162,6.48,21,person,"964,368,990,420",52.88,116.38
162,6.48,21,person,"965,363,990,420",55.0,119.53
162,6.48,21,person,"966,358,990,420",57.29,121.11
162,6.48,21,person,"967,353,990,420",59.78,122.05
163,6.52,22,motorcycle,"948,399,989,445",33.54,107.73
163,6.52,23,motorcycle,"954,404,988,446",40.44,113.44
163,6.52,24,person,"951,376,984,437",41.67,114.45
163,6.52,25,person,"955,373,981,423",52.88,123.72
164,6.56,23,motorcycle,"952,404,983,445",44.35,115.78
166,6.64,26,motorcycle,"948,393,984,440",38.19,109.44
167,6.68,26,motorcycle,"946,393,979,438",41.67,109.18
168,6.72,26,motorcycle,"938,393,974,438",38.19,106.87
171,6.84,27,motorcycle,"924,382,958,434",40.44,97.98
171,6.84,28,motorcycle,"926,396,959,437",41.67,98.53
172,6.88,28,motorcycle,"925,399,955,441",45.83,102.1
173,6.92,28,motorcycle,"917,407,952,439",39.29,103.21
173,6.92,29,car,"1008,454,1084,523",18.09,87.21
174,6.96,28,motorcycle,"908,397,947,439",35.26,101.95
174,6.96,29,car,"1008,454,1087,525",17.41,87.57
175,7.0,28,motorcycle,"903,400,937,439",40.44,102.18
176,7.04,28,motorcycle,"897,407,931,441",40.44,104.97
177,7.08,28,motorcycle,"890,401,924,439",40.44,104.22
178,7.12,28,motorcycle,"878,404,918,441",34.38,102.9
178,7.12,28,motorcycle,"876,404,918,441",32.74,103.04
179,7.16,28,motorcycle,"875,423,906,443",44.35,105.8
179,7.16,28,motorcycle,"874,426,906,443",42.97,106.69
180,7.2,28,motorcycle,"873,411,899,441",52.88,107.47
180,7.2,28,motorcycle,"873,411,899,441",52.88,108.86
181,7.24,28,motorcycle,"855,398,891,438",38.19,108.19
182,7.28,28,motorcycle,"846,409,878,439",42.97,107.49
182,7.28,28,motorcycle,"844,410,878,439",40.44,106.8
183,7.32,28,motorcycle,"844,413,873,442",47.41,109.25
183,7.32,28,motorcycle,"844,414,873,442",47.41,111.7
184,7.36,28,motorcycle,"826,399,860,438",40.44,110.86
185,7.4,28,motorcycle,"821,413,851,443",45.83,112.64
185,7.4,28,motorcycle,"821,414,851,443",45.83,114.41
185,7.4,30,car,"0,446,1280,714",1.07,80.53
186,7.44,28,motorcycle,"804,399,839,439",39.29,109.36
186,7.44,31,car,"205,424,1251,704",1.31,80.6
187,7.48,28,motorcycle,"802,416,829,444",50.93,110.88
187,7.48,28,motorcycle,"801,418,829,444",49.11,117.73
188,7.52,28,motorcycle,"782,401,815,443",41.67,112.27
188,7.52,32,car,"0,450,1280,715",1.07,80.48
189,7.56,28,motorcycle,"773,417,803,445",45.83,112.28
189,7.56,28,motorcycle,"771,418,803,445",42.97,118.18
189,7.56,32,car,"0,450,1280,715",1.07,80.54
190,7.6,28,motorcycle,"755,413,789,447",40.44,115.12
190,7.6,32,car,"0,451,1280,715",1.07,80.58
191,7.64,28,motorcycle,"749,417,779,447",45.83,113.8
191,7.64,28,motorcycle,"748,417,779,447",44.35,118.61
191,7.64,32,car,"0,468,1280,715",1.07,80.67
191,7.64,33,car,"134,437,1265,707",1.22,80.75
192,7.68,28,motorcycle,"734,419,767,449",41.67,115.75
192,7.68,32,car,"0,467,1280,715",1.07,80.68
193,7.72,28,motorcycle,"715,419,750,452",39.29,112.56
193,7.72,32,car,"0,461,1280,715",1.07,80.71
194,7.76,32,car,"0,451,1280,715",1.07,80.67
195,7.8,32,car,"0,452,1280,715",1.07,80.7
196,7.84,32,car,"0,450,1280,714",1.07,80.63
197,7.88,32,car,"0,445,1280,714",1.07,80.76
198,7.92,32,car,"0,452,1280,714",1.07,80.75
198,7.92,34,person,"87,491,152,534",21.15,89.52
200,8.0,35,car,"0,462,1280,715",1.07,80.75
204,8.16,36,person,"546,424,567,461",65.48,118.91
204,8.16,37,car,"0,471,1280,715",1.07,80.64
204,8.16,38,person,"761,423,783,467",62.5,117.14
211,8.44,39,traffic light,"453,446,477,473",57.29,124.43
220,8.8,40,motorcycle,"371,448,403,481",42.97,154.62
222,8.88,41,person,"678,441,704,501",52.88,173.91
228,9.12,42,person,"699,441,731,510",42.97,175.5
250,10.0,43,truck,"419,413,478,450",23.31,140.77
251,10.04,43,person,"421,410,447,447",52.88,196.24
252,10.08,43,person,"436,412,464,447",49.11,192.4
252,10.08,43,person,"438,412,464,447",52.88,190.47
253,10.12,43,person,"437,413,453,446",85.94,212.08
254,10.16,43,person,"444,414,463,447",72.37,236.27
255,10.2,43,person,"456,414,473,449",80.88,236.86
257,10.28,44,person,"461,418,479,450",76.39,308.59
260,10.4,45,person,"483,417,502,446",72.37,350.66
261,10.44,45,person,"488,416,522,454",40.44,331.22
262,10.48,45,person,"513,422,526,450",105.77,315.04
262,10.48,45,person,"516,422,526,450",137.5,306.95
267,10.68,46,person,"541,424,561,457",68.75,313.51
330,13.2,47,car,"0,445,1280,715",1.07,81.13
334,13.36,48,car,"0,450,1278,716",1.08,81.26
335,13.4,48,car,"0,452,1280,715",1.07,81.2
335,13.4,49,motorcycle,"804,388,822,411",76.39,157.66
335,13.4,50,motorcycle,"805,387,825,410",68.75,149.89
336,13.44,48,car,"0,448,1280,715",1.07,81.1
336,13.44,49,motorcycle,"799,387,821,409",62.5,146.64
336,13.44,49,motorcycle,"798,386,821,409",59.78,142.97
337,13.48,48,car,"0,448,1279,715",1.08,81.03
337,13.48,49,motorcycle,"794,398,810,412",85.94,152.42
342,13.68,51,car,"703,388,756,423",25.94,100.08
343,13.72,51,car,"703,388,754,422",26.96,99.79
344,13.76,51,car,"691,386,746,422",25.0,100.62
344,13.76,52,car,"1,457,1278,713",1.08,80.87
345,13.8,51,car,"681,387,743,424",22.18,100.9
346,13.84,51,car,"681,392,738,425",24.12,102.13
347,13.88,51,car,"681,388,734,423",25.94,100.96
347,13.88,53,car,"0,467,1280,714",1.07,80.6
348,13.92,51,car,"681,388,731,423",27.5,105.68
349,13.96,51,car,"681,389,732,423",26.96,106.03
350,14.0,51,car,"661,392,720,426",23.31,107.98
351,14.04,51,car,"660,390,714,425",25.46,107.7
353,14.12,54,car,"655,392,704,428",28.06,102.77
354,14.16,54,car,"655,393,703,428",28.65,102.95
355,14.2,54,car,"644,394,697,429",25.94,104.26
355,14.2,55,car,"0,446,1280,713",1.07,80.87
357,14.28,56,car,"636,399,683,433",29.26,97.98
358,14.32,56,car,"628,400,677,442",28.06,102.84
360,14.4,57,car,"618,407,669,446",26.96,83.65
361,14.44,57,car,"613,408,658,449",30.56,83.03
362,14.48,57,car,"600,415,651,450",26.96,95.72
363,14.52,57,car,"579,416,641,454",22.18,104.3
365,14.6,58,car,"574,416,623,458",28.06,104.44
365,14.6,59,car,"0,476,1280,714",1.07,80.94
367,14.68,60,car,"555,422,614,465",23.31,239.16
368,14.72,60,car,"551,422,600,469",28.06,164.3
369,14.76,60,car,"540,425,594,471",25.46,140.15
371,14.84,61,car,"519,432,575,482",24.55,91.38
374,14.96,62,car,"481,441,555,496",18.58,97.06
375,15.0,62,car,"476,442,542,503",20.83,96.89
376,15.04,62,car,"450,446,531,506",16.98,94.46
377,15.08,62,car,"432,446,524,510",14.95,94.25
378,15.12,62,car,"412,447,513,509",13.61,94.35
378,15.12,63,car,"18,475,1224,715",1.14,80.82
379,15.16,62,car,"406,443,506,513",13.75,92.72
380,15.2,62,car,"392,440,493,512",13.61,91.71
381,15.24,62,car,"376,439,485,513",12.61,92.05
381,15.24,64,car,"0,499,1277,714",1.08,80.82
382,15.28,62,car,"358,437,480,515",11.27,91.78
382,15.28,65,car,"56,490,1237,714",1.16,81.02
383,15.32,62,car,"343,434,466,516",11.18,90.76
383,15.32,66,car,"0,498,1280,714",1.07,80.84
384,15.36,62,car,"332,433,458,520",10.91,91.77
385,15.4,62,car,"319,435,450,516",10.5,90.9
386,15.44,62,car,"313,434,441,520",10.74,90.17
387,15.48,62,car,"294,436,431,522",10.04,90.96
388,15.52,62,car,"277,437,422,527",9.48,90.84
389,15.56,62,car,"252,445,406,535",8.93,90.88
390,15.6,62,car,"230,448,396,534",8.28,92.97
391,15.64,62,car,"191,447,383,568",7.16,95.24
392,15.68,62,car,"171,441,362,529",7.2,95.13
422,16.88,67,car,"116,408,151,441",39.29,146.53
423,16.92,67,car,"112,407,151,444",35.26,141.35
424,16.96,67,car,"104,405,155,445",26.96,141.24
425,17.0,67,car,"104,404,159,444",25.0,140.31
426,17.04,67,car,"103,406,158,451",25.0,137.85
428,17.12,68,car,"108,407,165,461",24.12,125.09
429,17.16,68,car,"109,406,169,457",22.92,128.49
430,17.2,68,car,"106,406,172,462",20.83,128.54
431,17.24,68,car,"102,408,174,463",19.1,128.77
432,17.28,68,car,"101,410,178,465",17.86,128.34
433,17.32,68,car,"104,409,181,467",17.86,128.02
434,17.36,68,car,"107,411,187,470",17.19,125.63
435,17.4,68,car,"108,412,188,474",17.19,123.25
436,17.44,68,car,"110,413,190,476",17.19,121.09
437,17.48,68,car,"87,416,190,493",13.35,118.97
438,17.52,68,car,"83,417,194,491",12.39,117.19
439,17.56,68,car,"69,419,197,497",10.74,114.77
440,17.6,68,car,"81,422,203,495",11.27,112.88
441,17.64,68,car,"94,423,207,497",12.17,109.58
442,17.68,68,car,"104,426,206,499",13.48,106.83
443,17.72,68,car,"98,426,214,505",11.85,113.02
444,17.76,68,car,"98,426,215,508",11.75,112.89
445,17.8,68,car,"102,426,216,510",12.06,112.8
