frame,second,id,label,bbox,distance_m,speed_kmh
20,0.69,12,car,"147,428,291,491",9.55,88.53
20,0.69,13,car,"743,431,770,449",50.93,90.03
20,0.69,13,car,"744,431,770,449",52.88,91.09
20,0.69,17,car,"397,436,493,473",14.32,86.78
20,0.69,22,car,"569,435,599,454",45.83,91.67
20,0.69,23,car,"452,435,504,467",26.44,83.35
21,0.72,0,car,"865,423,949,479",16.37,82.93
21,0.72,12,car,"124,428,266,491",9.68,88.58
21,0.72,13,car,"742,431,769,448",50.93,89.53
21,0.72,17,car,"361,440,461,473",13.75,86.5
21,0.72,22,car,"537,435,578,456",33.54,96.07
21,0.72,23,car,"441,431,498,466",24.12,84.73
22,0.76,0,car,"862,422,947,478",16.18,83.75
22,0.76,12,car,"80,424,241,496",8.54,89.3
22,0.76,13,car,"740,430,767,447",50.93,91.69
22,0.76,17,car,"348,433,473,477",11.0,87.35
22,0.76,22,car,"544,432,581,452",37.16,96.32
23,0.79,0,car,"863,421,948,478",16.18,83.32
23,0.79,12,car,"47,421,207,498",8.59,89.94
23,0.79,17,car,"318,431,462,477",9.55,88.03
23,0.79,24,car,"415,431,480,466",21.15,82.53
24,0.83,0,car,"862,421,948,478",15.99,83.25
24,0.83,12,car,"0,421,189,501",7.28,89.62
24,0.83,17,car,"267,432,430,480",8.44,88.19
24,0.83,24,car,"440,436,490,465",27.5,97.32
25,0.86,0,car,"862,422,943,479",16.98,83.29
25,0.86,12,car,"-8,417,150,502",8.7,88.64
25,0.86,17,car,"213,434,400,484",7.35,89.81
25,0.86,25,car,"540,433,579,454",35.26,84.51
26,0.9,0,car,"856,423,938,479",16.77,83.45
26,0.9,12,car,"-13,415,113,504",10.91,87.73
26,0.9,17,car,"165,432,386,493",6.22,89.51
26,0.9,25,car,"556,434,587,451",44.35,92.95
26,0.9,26,car,"431,440,474,463",31.98,85.81
26,0.9,27,car,"737,434,759,448",62.5,91.35
27,0.93,0,car,"854,423,938,478",16.37,82.31
